United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offense Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Agency, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Agency Type,Agency Name,Population1,Crimes Against Persons,,,,,,,,,,,,,,,,,Crimes Against Property,,,,,,,,,,,,,,,,,,,,,,,,,Crimes Against Society,,,,,,,,,,,,
,,,,"Assault
Offenses","Aggravated
Assault","Simple
Assault",Intimidation,"Homicide
Offenses",Murder and Nonnegligent Manslaughter,"Negligent
Manslaughter","Justifiable
Homicide","Kidnapping/
Abduction","Sex
Offenses",Rape,Sodomy,"Sexual
Assault
With An
Object",Fondling,"Sex
Offenses,
Nonforcible",Incest,"Statutory
Rape",Arson,Bribery,"Burglary/
Breaking &
Entering","Counter-
feiting/
Forgery","Destruction/
Damage/
Vandalism","Embezzle-
ment","Extortion/
Blackmail","Fraud
Offenses","False
Pretenses/
Swindle/
Confidence
Game","Credit Card/
Automated
Teller
Machine Fraud","Imperson-
ation","Welfare
Fraud","Wire
Fraud","Larceny-
Theft
Offenses","Pocket-
picking","Purse-
snatching","Shop-
lifting","Theft
From
Building","Theft
From
Coin-
operated
Machine","Theft
From
Motor
Vehicle","Theft of
Motor
Vehicle
Parts or
Accessories","All
Other
Larceny","Motor
Vehicle
Theft",Robbery,"Stolen
Property
Offenses ","Drug/
Narcotic
Offenses","Drug/
Narcotic
Violations","Drug
Equipment
Violations","Gambling
Offenses","Betting/
Wagering","Operating/
Promoting/
Assisting
Gambling","Gambling
Equipment
Violations","Sports
Tampering","Porno-
graphy/
Obscene
Material","Prost-
itution
Offenses","Prost-
itution","Assisting
or Pro-
moting
Prost-
itution","Weapon
Law
Violations"
ALABAMA,Cities,Hoover,"82,332",870,25,594,251,2,2,,,2,25,13,3,,9,,,,1,,391,55,280,70,,202,38,109,55,,,"1,718",10,2,550,410,4,418,127,197,88,46,29,495,339,156,,,,,,4,,,,26
ARIZONA,Cities,Apache Junction,"36,986",559,96,381,82,1,1,,,14,35,13,,,22,2,,2,1,,237,58,447,,1,162,52,62,48,,,725,,,193,12,1,52,52,415,68,21,28,308,152,156,,,,,,1,,,,25
,,Gilbert,"214,264","1,242",123,892,227,5,5,,,54,79,19,2,,58,16,,16,25,2,728,163,"2,303",20,4,486,130,150,206,,,"2,549",1,9,632,96,3,720,35,"1,053",171,59,100,"2,069",979,"1,090",,,,,,16,,,,75
,Metropolitan Counties,Yuma2,,555,94,376,85,26,26,,,17,39,8,,2,29,24,,24,10,3,363,26,542,,1,192,83,48,61,,,644,2,,34,,,8,4,596,75,10,24,437,208,229,,,,,,5,2,1,1,40
ARKANSAS,Cities,Alma,"5,439",197,11,108,78,,,,,1,4,3,,,1,,,,1,,99,15,97,,,13,1,10,2,,,265,,2,59,39,,39,,126,7,1,9,66,44,22,,,,,,1,,,,4
,,Arkadelphia,"10,698",274,35,178,61,5,5,,,4,7,5,2,,,,,,1,,106,19,97,,,34,16,15,3,,,340,,1,68,50,,34,3,184,7,3,2,44,37,7,,,,,,,,,,8
,,Ashdown,"4,680",72,14,57,1,,,,,1,5,4,,,1,1,,1,,,32,3,52,,,2,1,,1,,,126,,,28,7,,5,2,84,4,1,,32,26,6,,,,,,,,,,2
,,Atkins,"3,057",22,1,13,8,,,,,,,,,,,,,,,,30,6,14,,,3,,1,2,,,59,,1,4,10,1,4,,39,4,,2,3,3,,,,,,,,,,,
,,Austin,"2,076",14,2,10,2,,,,,,1,1,,,,,,,,,20,,10,,,1,,1,,,,29,,,1,2,,16,,10,,,,44,25,19,,,,,,,,,,2
,,Bald Knob,"2,950",71,12,29,30,,,,,,1,,,,1,,,,,,36,15,36,,,3,,3,,,,105,,1,5,17,3,14,1,64,10,1,15,25,20,5,,,,,,,,,,
,,Barling,"4,718",56,14,28,14,,,,,2,3,1,,,2,,,,,,12,3,9,,,12,,9,3,,,58,,,,15,,10,1,32,1,,8,259,140,119,,,,,,1,8,4,4,13
,,Bay,"1,845",15,2,8,5,,,,,,,,,,,,,,1,,12,,12,,,1,,1,,,,25,,,,2,,1,,22,,,3,20,14,6,,,,,,,,,,2
,,Bearden,961,12,2,6,4,,,,,,1,1,,,,,,,,,13,1,9,,,1,,1,,,,20,,,1,,,,1,18,1,1,,2,2,,,,,,,,,,,
,,Beebe,"7,449",242,32,109,101,,,,,,4,3,,1,,1,1,,1,,64,13,82,,,29,4,19,,,6,199,1,1,19,22,,16,1,139,13,,19,70,44,26,,,,,,,,,,10
,,Bella Vista,"27,310",93,23,36,34,1,1,,,3,7,1,2,,4,,,,,,90,18,81,,,18,5,11,2,,,171,,,1,59,1,34,2,74,3,,9,176,109,67,,,,,,,,,,9
,,Benton,"31,486",597,80,322,195,,,,,3,17,13,1,,3,3,,3,6,,228,136,328,,,108,8,94,5,,1,"1,070",3,3,126,59,1,234,107,537,90,23,24,258,166,92,,,,,,2,,,,20
,,Bentonville,"36,433",309,61,89,159,2,2,,,10,40,15,6,,19,1,1,,5,,154,37,203,2,,78,11,41,26,,,630,2,1,36,,,158,10,423,26,5,35,594,328,266,,,,,,4,7,7,,24
,,Berryville,"5,389",86,13,55,18,,,,,,15,8,6,,1,,,,,,68,16,18,,,11,1,7,3,,,191,,,27,1,1,1,,161,19,,,24,18,6,,,,,,,,,,2
,,Blytheville,"15,506",741,140,394,207,8,8,,,3,19,9,1,2,7,,,,2,,475,61,426,,,76,36,34,6,,,643,2,3,117,6,3,90,17,405,51,39,1,73,69,4,,,,,,,,,,33
,,Booneville,"3,993",71,10,46,15,,,,,3,3,2,,,1,,,,,,30,11,31,,,7,1,5,1,,,90,,,13,12,,5,1,59,3,1,6,36,22,14,,,,,,,,,,4
,,Bradford,774,29,2,14,13,,,,,,,,,,,,,,,,3,2,8,,,6,,3,3,,,16,,,1,,1,,1,13,1,,,6,2,4,,,,,,,,,,1
,,Brinkley,"3,171",32,18,14,,,,,,,2,2,,,,,,,2,,44,,23,,,,,,,,,76,,,2,,,,4,70,3,5,1,,,,,,,,,,,,,
,,Bryant,"17,129",170,,106,64,,,,,3,6,5,,,1,,,,,,179,61,134,,,107,42,65,,,,755,,,278,,,13,,464,34,11,23,115,81,34,,,,,,,,,,8
,,Bull Shoals,"1,947",16,4,11,1,,,,,,1,,,,1,,,,,,5,5,6,,,,,,,,,31,,1,10,5,,1,,14,,,1,17,9,8,,,,,,,,,,1
,,Cabot,"24,212",420,50,220,150,,,,,1,18,5,,,13,,,,1,,483,63,269,,,84,4,56,24,,,825,7,4,125,144,,256,13,276,48,6,44,136,83,53,,,,,,3,,,,13
,,Caddo Valley,632,19,5,11,3,,,,,,,,,,,,,,,,15,1,7,,,1,,1,,,,40,,,2,5,,1,,32,,1,2,26,24,2,,,,,,,,,,4
,,Camden,"12,118",334,60,171,103,1,1,,,,5,,1,2,2,1,,1,1,,178,68,160,,,14,7,7,,,,405,9,,84,17,,59,14,222,7,9,1,29,27,2,,,,,,,,,,6
,,Cammack Village,779,21,,11,10,,,,,,1,,,,1,,,,,,24,2,4,,,1,,,1,,,26,,,,5,,15,1,5,,,1,3,2,1,,,,,,,,,,1
,,Carlisle,"2,254",22,3,16,3,,,,,,1,1,,,,,,,,,24,7,5,,,2,1,1,,,,46,,,1,7,1,8,,29,1,2,9,6,4,2,,,,,,,,,,2
,,Cave City,"1,923",16,4,8,4,,,,,,,,,,,,,,,,9,5,4,,,5,,4,1,,,29,,,,12,,5,,12,,,1,2,2,,,,,,,,,,,
,,Cave Springs,"1,785",4,1,3,,,,,,,2,,,,2,,,,,,13,1,4,,,,,,,,,15,,,1,4,,,,10,,,,,,,,,,,,,,,,
,,Charleston,"2,492",24,2,14,8,,,,,,1,1,,,,,,,,,9,1,6,,,5,,5,,,,22,,,,2,,,,20,,1,,2,2,,,,,,,,,,,1
,,Cherokee Village,"4,735",30,3,27,,,,,,,1,1,,,,1,,1,1,,46,,51,,,15,11,3,1,,,99,,,1,,,1,,97,4,,3,26,16,10,,,,,,1,,,,1
,,Clarendon,"1,655",22,1,20,1,1,1,,,,,,,,,,,,,,7,,15,,,,,,,,,25,,,3,1,,3,,18,3,1,1,4,3,1,,,,,,,,,,
,,Clarksville,"9,286",215,13,151,51,,,,,,5,3,1,,1,,,,,,122,46,104,,,70,1,54,15,,,464,2,4,60,126,4,70,6,192,3,,13,49,38,11,,,,,,2,,,,6
,,Clinton,"2,580",9,,3,6,,,,,,,,,,,,,,,,16,6,2,,,9,,9,,,,41,,,3,16,,8,1,13,3,,,2,2,,,,,,,,,,,
